"Feature" "Gain" "Cover" "Frequency"
"359" "XLB_BVSP_rsi14_ratio" 0.001 0 0
"360" "GDAXI_KLSE_rsi14_ratio" 0.001 0 0
"361" "`CC=F_SB=F_price_ratio`" 0.001 0 0
"362" "`000001.SS_LE=F_rsi14_ratio`" 0.001 0 0
"363" "XLE_BFX_price_ratio" 0.001 0 0
"364" "XLK_TWII_rsi14_ratio" 0.001 0.001 0
"365" "XLI_000001.SS_rsi14_ratio" 0.001 0 0.001
"366" "XLB_KS11_rsi14_ratio" 0.001 0.002 0
"367" "`000001.SS_HE=F_rsi14_ratio`" 0.001 0 0.001
"368" "STI_FTSE_rsi14_ratio" 0.001 0 0.001
"369" "`ZR=F_BVSP_rsi14_ratio`" 0.001 0 0
"370" "XLU_IEF_rsi14_ratio" 0.001 0.001 0
"371" "`XLB_CC=F_rsi14_ratio`" 0.001 0 0
"372" "`HE=F_SHY_price_ratio`" 0.001 0.001 0
"373" "XLE_TYX_price_ratio" 0.001 0 0
"374" "XLE_JKSE_rsi14_ratio" 0.001 0 0
"375" "`XLY_CT=F_price_ratio`" 0.001 0 0
"376" "`ZR=F_ZM=F_price_ratio`" 0.001 0.001 0
"377" "XLB_IXIC_rsi14_ratio" 0.001 0.001 0.001
"378" "`HG=F_SI=F_rsi14_ratio`" 0.001 0.001 0
"379" "`CC=F_ZL=F_rsi14_ratio`" 0.001 0.001 0.001
"380" "XLK_MERV_price_ratio" 0.001 0 0
"381" "XLE_XLI_rsi14_ratio" 0.001 0 0
"382" "XLY_IXIC_price_ratio" 0.001 0.001 0
"383" "`BFX_RB=F_rsi14_ratio`" 0.001 0.001 0.001
"384" "N225_XHB_price_ratio" 0.001 0 0
"385" "`CT=F_SI=F_rsi14_ratio`" 0.001 0 0
"386" "`BVSP_NG=F_price_ratio`" 0.001 0 0
"387" "XLI_NZ50_price_ratio" 0.001 0.001 0
"388" "BFX_smacross" 0.001 0 0
"389" "`NG=F_HO=F_rsi14_ratio`" 0.001 0.001 0.001
"390" "`GC=F_HO=F_rsi14_ratio`" 0.001 0 0
"391" "BSESN_smacross" 0.001 0 0
"392" "BVSP_N225_price_ratio" 0.001 0.001 0
"393" "`JKSE_HE=F_price_ratio`" 0.001 0 0
"394" "FCHI_JKSE_rsi14_ratio" 0.001 0 0
"395" "KLSE_TLT_price_ratio" 0.001 0.001 0
"396" "`DJI_SB=F_rsi14_ratio`" 0.001 0.001 0
"397" "`STI_RB=F_rsi14_ratio`" 0.001 0.001 0
"398" "`VIX_GC=F_rsi14_ratio`" 0.001 0 0
"399" "`TWII_SB=F_price_ratio`" 0.001 0.001 0
"400" "MXX_IRX_rsi14_ratio" 0.001 0.001 0
"401" "STI_KLSE_price_ratio" 0.001 0.001 0
"402" "MERV_TYX_rsi14_ratio" 0.001 0.001 0
"403" "`ZM=F_GF=F_price_ratio`" 0.001 0 0
"404" "`XLV_OJ=F_rsi14_ratio`" 0.001 0 0
"405" "NYA_XLV_price_ratio" 0.001 0 0
"406" "`000001.SS_OJ=F_price_ratio`" 0.001 0 0
"407" "`ZR=F_TWII_rsi14_ratio`" 0.001 0 0
"408" "RUT_XLK_rsi14_ratio" 0.001 0 0
"409" "XLI_MXX_price_ratio" 0.001 0.001 0
"410" "`XAX_SI=F_rsi14_ratio`" 0.001 0 0.001
"411" "TNX_FTSE_rsi14_ratio" 0.001 0 0
"412" "`ZO=F_KE=F_price_ratio`" 0.001 0 0
"413" "`BFX_ZM=F_rsi14_ratio`" 0.001 0 0
"414" "`KC=F_IEF_rsi14_ratio`" 0.001 0.001 0
"415" "`HE=F_NZ50_rsi14_ratio`" 0.001 0.001 0
"416" "XLU_GSPTSE_price_ratio" 0.001 0.002 0
"417" "`ZM=F_TLT_price_ratio`" 0.001 0 0
"418" "NYA_MXX_rsi14_ratio" 0.001 0 0.001
"419" "ZL.F_rsi14" 0.001 0.001 0.001
"420" "`XLU_SI=F_rsi14_ratio`" 0.001 0 0
"421" "BFX_BSESN_price_ratio" 0.001 0.001 0
"422" "XLF_XLK_rsi14_ratio" 0.001 0 0
"423" "`MERV_OJ=F_rsi14_ratio`" 0.001 0.001 0.001
"424" "XLU_DJI_price_ratio" 0.001 0.001 0
"425" "TWII_000001.SS_rsi14_ratio" 0.001 0.001 0.001
"426" "`ZL=F_HO=F_rsi14_ratio`" 0.001 0 0
"427" "`ZO=F_KE=F_rsi14_ratio`" 0.001 0.001 0.001
"428" "`LE=F_IEF_rsi14_ratio`" 0.001 0 0
"429" "`FVX_OJ=F_rsi14_ratio`" 0.001 0 0
"430" "`TWII_OJ=F_rsi14_ratio`" 0.001 0 0
"431" "`CT=F_SB=F_rsi14_ratio`" 0.001 0 0
